date,institution_id,institution,previous_report_status,new_report_status,evidence_level,sources_added,fields_updated,main_sources,gaps,next_follow_up,notes
2026-06-23,university-of-freiburg,University of Freiburg,Coverage placeholder,Partial seed,Moderate,4,"reportStatus; profileStatus; evidenceLevel; transparencyCategory; institutionalRoute; committeeOrOffice; procedureSummary; publicOutputSummary; transparencySummary; sourceCoverage; sourceLinks; tags; caveats; nextFollowUp; memberValidationQuestions","https://uni-freiburg.de/forschung/qualitaetssicherung/gute-wissenschaftliche-praxis/redlichkeit-in-der-wissenschaft/ | https://uni-freiburg.de/wp-content/uploads/Uni-Freiburg-Ordnung-Redlichkeit-in-der-Wissenschaft-en.pdf | https://uni-freiburg.de/forschung/qualitaetssicherung/forschungskommissionen/ | https://uni-freiburg.de/themen-im-fokus/aufklaerungsarbeit-zu-doping-sportmedizin-und-wissenschaftlichem-fehlverhalten/","No general current public case-output or annual-statistics channel located; historical sports-medicine material is case-specific only.","Check whether Freiburg publishes current aggregate statistics or newer public summaries beyond the historical sports-medicine complex.","Official-source extraction; no personal contact details copied."
2026-06-23,lmu-munich,Ludwig-Maximilians-Universitat Munchen / LMU Munich,Coverage placeholder,Partial seed,Moderate,3,"reportStatus; profileStatus; evidenceLevel; transparencyCategory; institutionalRoute; committeeOrOffice; procedureSummary; transparencySummary; sourceCoverage; sourceLinks; tags; caveats; nextFollowUp; memberValidationQuestions","https://cms-cdn.lmu.de/media/contenthub/amtliche-veroeffentlichungen/gwp-ordnung.pdf | https://www.med.lmu.de/de/promotion/von-anmeldung-bis-zeugnis/wissenswertes-faqs/was-tun-wenns-probleme-gibt/ | https://www.graduatecenter.uni-muenchen.de/veranstaltungen/e-learning/index.html","No LMU public case-output, annual-statistics or anonymized summary channel located; separate LMU from TUM Munich evidence.","Find any non-personal LMU office or committee page and check for aggregate reporting or anonymized public outputs.","Official-source extraction; training and faculty signposting kept separate from adjudication."
2026-06-23,university-of-strasbourg,University of Strasbourg,Coverage placeholder,Partial seed,Moderate,4,"reportStatus; profileStatus; evidenceLevel; transparencyCategory; institutionalRoute; committeeOrOffice; procedureSummary; transparencySummary; sourceCoverage; sourceLinks; tags; caveats; nextFollowUp; memberValidationQuestions","https://www.unistra.fr/fr/universite/engagements/referents/referent-lintegrite-scientifique | https://www.unistra.fr/fr/universite/engagements/ethique-la-recherche-integrite-scientifique-et-deontologie | https://www.unistra.fr/fr/universite/labels/label-hr-excellence-research-hrs4r | https://www.unistra.fr/fr/recherche/doctorat/se-preparer-aux-etudes-doctorales","No public RIS annual activity statistics, anonymized case summaries or decision archive located in this pass.","Check for annual RIS activity statistics or a non-personal procedure document beyond the referent page.","Official-source extraction; personal contact details omitted and boundary routes kept separate."
2026-06-23,university-of-geneva,University of Geneva,Partial seed,Partial seed,Moderate,2,"profileStatus; evidenceLevel; transparencyCategory; institutionalRoute; committeeOrOffice; procedureSummary; publicOutputSummary; transparencySummary; sourceLinks; tags; caveats; reportNotes; nextFollowUp; memberValidationQuestions","https://www.unige.ch/recherche/en/resources/research-ethics | https://www.unige.ch/ethique/charter | https://memento.unige.ch/doc/0003 | https://cureg.unige.ch/en/how-we-work/","No UNIGE public misconduct case-output channel, annual integrity statistics page or anonymized decision archive located; CUREG is a boundary route.","Validate whether UNIGE publishes non-personal annual integrity statistics or whether case handling remains internal/confidential.","Official-source batch extraction; CUREG and ethics material kept separate from misconduct publication."
2026-06-23,heidelberg-university,Heidelberg University,Partial seed,Partial seed,Moderate,2,"profileStatus; transparencyCategory; institutionalRoute; committeeOrOffice; procedureSummary; publicOutputSummary; transparencySummary; sourceLinks; tags; caveats; reportNotes; nextFollowUp; memberValidationQuestions","https://www.uni-heidelberg.de/en/university/about-the-university/good-academic-practice/ombudsmen | https://www.graduateacademy.uni-heidelberg.de/beratung/ombudsperson_en.html | https://www.uni-heidelberg.de/en/university/about-the-university/good-academic-practice | https://backend.uni-heidelberg.de/en/documents/rules-for-safeguarding-good-academic-practice-and-handling-academic-misconduct/download","No Heidelberg public case-output channel, annual ombuds statistics page or anonymized decision archive located.","Check whether the Commission for the Safeguarding of Good Academic Practice publishes non-personal annual activity or outcomes.","Official-source batch extraction; doctoral/workplace support routes kept separate."
2026-06-23,university-of-helsinki,University of Helsinki,Partial seed,Partial seed,Moderate,2,"profileStatus; transparencyCategory; institutionalRoute; procedureSummary; publicOutputSummary; transparencySummary; sourceLinks; tags; caveats; reportNotes; nextFollowUp; memberValidationQuestions","https://www.helsinki.fi/en/research/research-integrity/research-ethics/responsible-conduct-research | https://www.helsinki.fi/en/research/research-integrity/research-ethics | https://tenk.fi/en/research-integrity/organisations-committed-rircr-guidelines | https://tenk.fi/en/research-integrity/tenks-statement-summaries","No Helsinki local public case-output channel located; TENK statement summaries are national second-line output, not a Helsinki archive unless a summary identifies Helsinki.","Check for Helsinki annual statistics, local RI decisions or Helsinki-specific TENK summaries.","Official-source batch extraction; local first-instance route kept separate from TENK national output."
2026-06-23,leiden-university,Leiden University,Partial seed,Detailed seed,Strong,3,"reportStatus; profileStatus; evidenceLevel; transparencyCategory; procedureSummary; publicOutputSummary; transparencySummary; sourceLinks; tags; caveats; reportNotes; nextFollowUp; memberValidationQuestions","https://www.organisatiegids.universiteitleiden.nl/en/university-committees/academic-integrity-committee | https://www.universiteitleiden.nl/onderzoek/organisatie-van-ons-onderzoek/kwaliteit-en-integriteit/wetenschappelijke-integriteit | https://www.organisatiegids.universiteitleiden.nl/universitaire-commissies/commissie-wetenschappelijke-integriteit | https://www.organisatiegids.universiteitleiden.nl/binaries/content/assets/ul2staff/reglementen/onderzoek/jaarverslag-cwi-2023-2024-def.pdf | https://www.organisatiegids.universiteitleiden.nl/universitaire-commissies/commissie-wetenschappelijke-integriteit/adviezen-commissie","Public CWI annual reports and advice/final-judgment page located, but row-level extraction remains pending.","Index Leiden/LUMC annual-report rows by year, chamber, complaint type, LOWI interaction and final judgment.","Moved to Detailed seed because local CWI public reporting is verified."
2026-06-23,lund-university,Lund University,Partial seed,Detailed seed,Strong,3,"reportStatus; profileStatus; evidenceLevel; transparencyCategory; institutionalRoute; committeeOrOffice; procedureSummary; publicOutputSummary; transparencySummary; sourceCoverage; sourceLinks; tags; caveats; reportNotes; nextFollowUp; memberValidationQuestions","https://www.staff.lu.se/compliance/good-research-practice | https://www.staff.lu.se/research-and-education/research-support/research-ethics-and-animal-testing-ethics/deviations-good-research-practice | https://www.staff.lu.se/research-and-education/research-support/research-ethics-and-animal-testing-ethics/deviations-good-research-practice/reporting-suspected-deviations-good-research-practice | https://www.staff.lu.se/sites/staff.lu.se/files/2026-03/Annual%20Report%202025%20%E2%80%93%20Deviations%20from%20Good%20Research%20Practice%20Review%20Board.pdf | https://www.staff.lu.se/sites/staff.lu.se/files/2026-05/guidelines-for-the-processing-of-matters-relating-to-suspected-deviation-from-good-research-practice.pdf","Local annual report found, but not a searchable case-file archive; Npof remains the statutory FFP decision archive.","Index the Lund 2025 annual report by received matters, route, outcome and Npof/local split.","Moved to Detailed seed because an official local Review Board annual report is verified."
2026-06-23,university-of-milan,University of Milan,Partial seed,Partial seed,Moderate,2,"profileStatus; transparencyCategory; institutionalRoute; committeeOrOffice; procedureSummary; publicOutputSummary; transparencySummary; sourceLinks; tags; caveats; reportNotes; nextFollowUp; memberValidationQuestions","https://www.unimi.it/it/ateneo/governance-e-linee-strategiche/organi-di-governo/comitato-etico | https://www.unimi.it/it/ateneo/normative/regolamenti/regolamento-comitato-etico | https://www.unimi.it/it/ateneo/normative/codice-etico | https://work.unimi.it/filepub/bandi_finanziamento/RAR_RelazioneAteneoRicerca_VI_edizione_Ottobre2025.pdf","No public misconduct case-output channel located; committee minutes remain restricted through Unimibox and the research report is governance/training context.","Clarify whether any Ethics Committee opinions, annual statistics or non-disciplinary integrity proceedings are public beyond restricted minutes.","Official-source batch extraction; project ethics and clinical-trial ethics kept separate."
2026-06-23,utrecht-university,Utrecht University,Partial seed,Detailed seed,Strong,2,"reportStatus; profileStatus; evidenceLevel; transparencyCategory; procedureSummary; publicOutputSummary; transparencySummary; sourceLinks; tags; caveats; reportNotes; nextFollowUp; memberValidationQuestions","https://www.uu.nl/sites/default/files/Klachtenregeling-Wetenschappelijke-Integriteit-Universiteit-Utrecht.pdf | https://www.uu.nl/sites/default/files/UU-Jaarverslag-2024%20NL-v5.pdf | https://www.universiteitenvannederland.nl/files/publications/2026%20UU%20Optreden%20als%20niet%20onafhankelijk%20peer-reviewer%20-%20gegrond.pdf | https://www.universiteitenvannederland.nl/files/publications/2024%20UU%20Plagiaat%20-%20schending%20wetenschappelijke%20integriteit.pdf","Annual-report case activity and UNL anonymized case PDFs found; full row-level extraction remains pending.","Index Utrecht annual-report fields and UNL PDFs by year, allegation type, CWI advice, LOWI step and final board judgment.","Moved to Detailed seed because annual-report and UNL public-case evidence are verified."
